req_date	req_count	suc_count
2018-04-01	760	343
2018-04-02	839	352
2018-04-03	971	434
2018-04-04	1028	463
2018-04-05	551	244
2018-04-06	261	125
2018-04-07	314	149
2018-04-08	443	223
2018-04-09	459	192
2018-04-10	516	201
2018-04-11	542	243
2018-04-12	624	269
2018-04-13	674	284
2018-04-14	644	236
2018-04-15	450	203
2018-04-16	504	212
2018-04-17	527	233
2018-04-18	541	234
2018-04-19	630	310
2018-04-20	689	344
2018-04-21	562	282
2018-04-22	438	209
2018-04-23	544	248
2018-04-24	544	249
2018-04-25	556	291
2018-04-26	605	293
2018-04-27	628	314
2018-04-28	703	362
2018-04-29	609	287
2018-04-30	416	179
2018-05-01	352	164
2018-05-02	459	231
2018-05-03	495	244
2018-05-04	677	338
2018-05-05	523	242
2018-05-06	366	172
2018-05-07	468	222
2018-05-08	500	232
2018-05-09	498	249
2018-05-10	518	265
2018-05-11	667	315
2018-05-12	549	273
2018-05-13	445	166
2018-05-14	461	249
2018-05-15	533	252
2018-05-16	577	287
2018-05-17	576	284
2018-05-18	782	394
2018-05-19	598	264
2018-05-20	426	204
2018-05-21	471	210
2018-05-22	530	282
2018-05-23	541	270
2018-05-24	665	321
2018-05-25	686	368
2018-05-26	557	270
2018-05-27	392	187
2018-05-28	438	201
2018-05-29	457	202
2018-05-30	566	272
2018-05-31	737	346
2018-06-01	741	368
2018-06-02	666	299
2018-06-03	394	182
2018-06-04	463	204
2018-06-05	589	282
2018-06-06	464	231
2018-06-07	587	306
2018-06-08	741	353
2018-06-09	559	281
2018-06-10	450	226
2018-06-11	574	299
2018-06-12	567	275
2018-06-13	614	289
2018-06-14	653	320
2018-06-15	791	391
2018-06-16	683	311
2018-06-17	522	240
2018-06-18	366	168
2018-06-19	425	227
2018-06-20	495	227
2018-06-21	578	286
2018-06-22	623	309
2018-06-23	483	230
2018-06-24	371	178
2018-06-25	440	215
2018-06-26	442	213
2018-06-27	542	262
2018-06-28	665	287
2018-06-29	839	390
2018-06-30	642	277
2018-07-01	511	245
2018-07-02	480	228
2018-07-03	543	222
2018-07-04	602	275
2018-07-05	629	287
2018-07-06	765	364
2018-07-07	613	244
2018-07-08	477	204
2018-07-09	548	271
2018-07-10	526	236
2018-07-11	557	284
2018-07-12	602	323
2018-07-13	739	376
2018-07-14	586	253
2018-07-15	460	206
2018-07-16	529	227
2018-07-17	589	285
2018-07-18	598	286
2018-07-19	718	338
2018-07-20	845	380
2018-07-21	779	334
2018-07-22	540	223
2018-07-23	546	276
2018-07-24	639	302
2018-07-25	667	305
2018-07-26	752	357
2018-07-27	836	392
2018-07-28	800	359
2018-07-29	513	233
2018-07-30	612	260
2018-07-31	679	321
2018-08-01	799	339
2018-08-02	808	391
2018-08-03	990	473
2018-08-04	831	361
2018-08-05	642	266
2018-08-06	622	311
2018-08-07	642	295
2018-08-08	686	316
2018-08-09	773	368
2018-08-10	927	419
2018-08-11	765	336
2018-08-12	561	224
2018-08-13	638	303
2018-08-14	686	332
2018-08-15	799	357
2018-08-16	950	409
2018-08-17	1070	431
2018-08-18	812	355
2018-08-19	538	211
2018-08-20	632	301
2018-08-21	646	269
2018-08-22	643	288
2018-08-23	729	356
2018-08-24	829	385
2018-08-25	715	312
2018-08-26	607	249
2018-08-27	564	259
2018-08-28	577	268
2018-08-29	622	271
2018-08-30	664	288
2018-08-31	883	372
2018-09-01	741	289
2018-09-02	647	246
2018-09-03	598	252
2018-09-04	640	275
2018-09-05	705	301
2018-09-06	757	352
2018-09-07	787	320
2018-09-08	738	304
2018-09-09	560	246
2018-09-10	630	281
2018-09-11	690	300
2018-09-12	717	312
2018-09-13	806	336
2018-09-14	889	392
2018-09-15	663	268
2018-09-16	516	178
2018-09-17	719	303
2018-09-18	664	303
2018-09-19	669	302
2018-09-20	803	385
2018-09-21	748	353
2018-09-22	772	361
2018-09-23	609	262
2018-09-24	505	227
2018-09-25	643	277
2018-09-26	636	268
2018-09-27	712	281
2018-09-28	884	339
2018-09-29	989	367
2018-09-30	1192	444
2018-10-01	970	362
2018-10-02	702	231
2018-10-03	491	208
2018-10-04	405	174
2018-10-05	340	141
2018-10-06	301	125
2018-10-07	392	176
2018-10-08	460	217
2018-10-09	462	208
2018-10-10	418	168
2018-10-11	460	227
2018-10-12	651	302
2018-10-13	518	227
2018-10-14	390	181
2018-10-15	407	197
2018-10-16	441	211
2018-10-17	437	188
2018-10-18	540	243
2018-10-19	586	286
2018-10-20	452	198
2018-10-21	328	148
2018-10-22	412	198
2018-10-23	471	213
2018-10-24	440	208
2018-10-25	537	270
2018-10-26	582	288
2018-10-27	454	223
2018-10-28	399	164
2018-10-29	388	172
2018-10-30	452	209
2018-10-31	457	217
2018-11-01	526	230
2018-11-02	664	286
2018-11-03	536	224
2018-11-04	341	143
2018-11-05	401	182
2018-11-06	388	167
2018-11-07	412	192
2018-11-08	566	263
2018-11-09	554	249
2018-11-10	487	196
2018-11-11	321	143
2018-11-12	380	195
2018-11-13	331	170
2018-11-14	409	187
2018-11-15	503	212
2018-11-16	502	236
2018-11-17	426	185
2018-11-18	273	132
2018-11-19	313	173
2018-11-20	353	159
2018-11-21	416	171
2018-11-22	422	204
2018-11-23	536	254
2018-11-24	445	183
2018-11-25	243	120
2018-11-26	342	151
2018-11-27	321	155
2018-11-28	351	161
2018-11-29	420	186
2018-11-30	520	213
2018-12-01	660	195
2018-12-02	396	151
2018-12-03	427	144
2018-12-04	390	163
2018-12-05	387	140
2018-12-06	406	178
2018-12-07	540	220
2018-12-08	446	165
2018-12-09	359	118
2018-12-10	446	161
2018-12-11	406	142
2018-12-12	468	172
2018-12-13	491	166
2018-12-14	569	233
2018-12-15	517	174
2018-12-16	390	138
2018-12-17	530	186
2018-12-18	489	184
2018-12-19	512	182
2018-12-20	514	209
2018-12-21	552	231
2018-12-22	493	169
2018-12-23	428	190
2018-12-24	455	150
2018-12-25	512	182
2018-12-26	441	169
2018-12-27	459	151
2018-12-28	473	175
2018-12-29	498	191
2018-12-30	467	170
2018-12-31	313	120
